City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Saldanha,ZA,2022-07-19 22:02:43,clear sky,-33.0117,17.9442,55.29,70,0,16.58
164,Anahuac,MX,2022-07-19 22:04:25,clear sky,27.2333,-100.15,105.06,20,0,14.67
165,Doha,QA,2022-07-19 22:04:26,clear sky,25.2867,51.5333,93.51,66,0,2.3
166,Vila Franca Do Campo,PT,2022-07-19 22:04:26,broken clouds,37.7167,-25.4333,70.34,86,72,5.14
167,Bama,NG,2022-07-19 22:04:26,overcast clouds,11.5221,13.6856,76.23,83,99,10.0
168,Longyearbyen,SJ,2022-07-19 22:01:30,broken clouds,78.2186,15.6401,53.44,82,75,11.5
169,Kalmunai,LK,2022-07-19 22:04:27,broken clouds,7.4167,81.8167,78.39,85,61,3.56
170,Egvekinot,RU,2022-07-19 22:04:27,overcast clouds,66.3167,-179.1667,43.41,71,99,5.32
171,Katsuura,JP,2022-07-19 22:04:28,broken clouds,35.1333,140.3,80.15,86,75,6.93
172,Jarvenpaa,FI,2022-07-19 22:04:28,clear sky,60.4737,25.0899,58.77,66,0,10.36
173,Campbellsville,US,2022-07-19 22:04:29,few clouds,37.3434,-85.3419,89.15,50,20,1.99
174,Lang Son,VN,2022-07-19 22:04:29,overcast clouds,21.8333,106.7333,75.72,97,100,2.77
175,Port Blair,IN,2022-07-19 22:04:30,overcast clouds,11.6667,92.75,81.48,82,100,10.76
176,Whitehorse,CA,2022-07-19 22:04:30,broken clouds,60.7161,-135.0538,64.31,42,76,17.0
177,Kahului,US,2022-07-19 22:02:07,few clouds,20.8947,-156.47,79.77,69,16,13.91
178,Valle Hermoso,MX,2022-07-19 22:04:30,scattered clouds,25.6667,-97.8333,93.92,45,32,23.11
179,College,US,2022-07-19 22:04:31,light rain,64.8569,-147.8028,55.35,83,75,10.36
180,Arinos,BR,2022-07-19 22:04:31,overcast clouds,-15.9169,-46.1056,70.93,32,91,1.77
181,Hithadhoo,MV,2022-07-19 22:04:32,overcast clouds,-0.6,73.0833,80.44,75,100,10.04
182,Vila Velha,BR,2022-07-19 22:00:20,few clouds,-20.3297,-40.2925,71.94,88,15,6.49
183,Bengkulu,ID,2022-07-19 22:04:32,broken clouds,-3.8004,102.2655,76.46,91,79,5.35
184,Port Hedland,AU,2022-07-19 22:04:33,clear sky,-20.3167,118.5667,57.25,94,7,8.05
185,Ukiah,US,2022-07-19 22:05:33,clear sky,39.1502,-123.2078,101.44,17,0,5.99
186,Veraval,IN,2022-07-19 22:05:34,overcast clouds,20.9,70.3667,80.13,86,100,16.06
